a3_x,b3_y,c3_z
-0.001404,-0.002716,-0.0005493
-0.001221,-0.002502,-0.000763
-0.001007,-0.002197,-0.001129
-0.0007324,-0.002014,-0.001434
-0.00058,-0.001831,-0.0017395
-0.0003662,-0.001617,-0.001984
-0.0001526,-0.001434,-0.002228
3.05e-05,-0.001099,-0.002533
0.0001526,-0.000977,-0.002777
0.0002747,-0.000641,-0.003082
0.0003967,-0.0002747,-0.003265
0.0004883,-0.0001526,-0.003601
0.00058,0.0001526,-0.003784
0.0006714,0.0002747,-0.003967
0.000702,0.0003967,-0.003998
0.000824,0.0004883,-0.00406
0.000885,0.0005493,-0.00409
0.001007,0.0007324,-0.00403
0.001038,0.000641,-0.003967
0.00116,0.000885,-0.003815
0.00119,0.0009155,-0.003693
0.001221,0.0009155,-0.003601
0.001282,0.000977,-0.003418
0.001251,0.0009155,-0.003296
0.001343,0.0009155,-0.003113
0.001343,0.0008545,-0.003021
0.001434,0.0009155,-0.00299
0.001404,0.001038,-0.002838
0.001465,0.001007,-0.002808
0.001434,0.00119,-0.002716
0.001465,0.001373,-0.002686
0.001434,0.001495,-0.002655
0.001343,0.001556,-0.002594
0.001312,0.001648,-0.002625
0.001251,0.00177,-0.002655
0.001251,0.00177,-0.002747
0.001251,0.001831,-0.002716
0.001312,0.001923,-0.002777
0.001312,0.001953,-0.002808
0.001251,0.001862,-0.002747
0.001221,0.001862,-0.002777
0.001282,0.001862,-0.002747
0.00119,0.001862,-0.002747
0.00116,0.001862,-0.002777
0.001099,0.0017395,-0.002808
0.001007,0.001831,-0.002777
0.001007,0.001556,-0.002808
0.000977,0.001556,-0.002808
0.000885,0.001526,-0.002808
0.0008545,0.001373,-0.002686
0.000824,0.001434,-0.002625
0.000824,0.001343,-0.002563
0.0007324,0.001495,-0.00232
0.0006714,0.001556,-0.002167
0.000641,0.001465,-0.002014
0.0006104,0.001678,-0.001862
0.0006104,0.001465,-0.001709
0.000641,0.001312,-0.001648
0.000641,0.001312,-0.001526
0.00058,0.00116,-0.001465
0.00058,0.001251,-0.001434
0.0005493,0.00119,-0.001404
0.000519,0.001129,-0.001404
0.0004883,0.00119,-0.001373
0.0003967,0.001068,-0.001465
0.0003052,0.001099,-0.001587
0.0002136,0.001099,-0.0017395
0.0001526,0.00116,-0.001862
0.0,0.001221,-0.001892
-6.104e-05,0.001221,-0.001892
-0.0002441,0.00119,-0.001953
-0.0003052,0.00119,-0.002045
-0.0003662,0.001038,-0.002075
-0.000519,0.001038,-0.002136
-0.00058,0.000946,-0.002136
-0.000702,0.0008545,-0.002106
-0.0007324,0.000885,-0.001862
-0.0008545,0.0006104,-0.0017395
-0.000946,0.000641,-0.001526
-0.001038,0.0006104,-0.001312
-0.001129,0.0003662,-0.00119
-0.00119,0.0003052,-0.000885
-0.001282,3.05e-05,-0.00058
-0.001404,-0.0002136,-0.0004272
-0.001526,-0.000519,-0.0003662
-0.001587,-0.0007935,-0.0002747
-0.00177,-0.000946,-0.0003967
-0.001801,-0.001038,-0.0005493
-0.001923,-0.00119,-0.0006104
-0.002045,-0.001343,-0.000702
-0.002014,-0.001495,-0.000824
-0.002045,-0.001587,-0.0007935
-0.002014,-0.001831,-0.0007935
-0.002014,-0.001892,-0.0007324
-0.002045,-0.001923,-0.000763
-0.001984,-0.002136,-0.0006714
-0.002014,-0.002075,-0.0005493
-0.002014,-0.002045,-0.0004272
-0.001892,-0.001984,-0.0002136
-0.001892,-0.001892,0.0
-0.001709,-0.00177,0.0002747
-0.001709,-0.001648,0.0004272
-0.001678,-0.001495,0.0004883
-0.001678,-0.001312,0.0004272
-0.001648,-0.001251,0.0002747
-0.001617,-0.001038,3.05e-05
-0.001648,-0.001038,-0.0001526
-0.001617,-0.000946,-0.0003052
-0.001556,-0.000885,-0.0004272
-0.001495,-0.000824,-0.00058
-0.001526,-0.0007324,-0.0004578
-0.001495,-0.0006714,-0.0003967
-0.001495,-0.000641,-0.0003052
-0.001526,-0.000641,-9.155e-05
-0.001495,-0.000519,6.104e-05
-0.001495,-0.0005493,0.0001831
-0.001465,-0.0005493,0.0002441
-0.001434,-0.0004272,0.0003967
-0.001373,-0.000519,0.000519
-0.001343,-0.0004578,0.000702
-0.001221,-0.0003357,0.0008545
-0.001221,-0.0002136,0.0009155
-0.001221,-9.155e-05,0.0009155
-0.00116,-6.104e-05,0.000824
-0.00116,-3.05e-05,0.000702
-0.001129,3.05e-05,0.0006104
-0.001129,0.0001221,0.0004272
-0.001099,-6.104e-05,0.0003357
-0.001038,0.0,0.0002136
-0.001038,0.0,0.0003052
-0.001007,-0.0001221,0.0003967
-0.001007,-0.0001831,0.0004272
-0.001099,-9.155e-05,0.00058
-0.001038,-0.0001526,0.00058
-0.001007,-0.0001526,0.00058
-0.001007,0.0,0.0003967
-0.000946,-3.05e-05,0.0002747
-0.0009155,3.05e-05,6.104e-05
-0.0009155,3.05e-05,-0.0001831
-0.000885,9.155e-05,-0.0003662
-0.0009155,0.0002441,-0.0005493
-0.000946,0.0001526,-0.0007324
-0.000977,0.0002136,-0.000885
-0.000946,0.0002747,-0.001007
-0.000946,0.0003662,-0.001129
-0.001007,0.0003052,-0.001282
